code_departement,annee,type_local,pieces_cat,prix_m2_median,transactions
22,2021,Tous,T4,1702.127659574468,4500
22,2021,Tous,T5+,1666.6666666666667,6322
22,2021,Tous,Tous,1756.5151515151515,18425
23,2021,Appartement,Studio,3118.0555555555557,114
23,2021,Appartement,T2,2559.8290598290596,166
23,2021,Appartement,T3,1171.5686274509803,170
23,2021,Appartement,T4,831.0548523206751,58
23,2021,Appartement,T5+,629.0322580645161,27
23,2021,Appartement,Tous,1439.9619785898856,538
23,2021,Maison,Studio,967.741935483871,151
23,2021,Maison,T2,891.1111111111111,340
23,2021,Maison,T3,815.7894736842105,701
23,2021,Maison,T4,905.0,771
23,2021,Maison,T5+,842.1052631578947,811
23,2021,Maison,Tous,859.375,2795
23,2021,Tous,Studio,1411.111111111111,265
23,2021,Tous,T2,1112.5,506
23,2021,Tous,T3,875.0,871
23,2021,Tous,T4,892.8571428571429,829
23,2021,Tous,T5+,832.3970037453184,838
23,2021,Tous,Tous,905.0,3333
24,2021,Appartement,Studio,4786.666666666667,407
24,2021,Appartement,T2,1890.3903903903904,718
24,2021,Appartement,T3,1644.6543778801843,584
24,2021,Appartement,T4,1536.9565217391305,248
24,2021,Appartement,T5+,1454.6231866965445,66
24,2021,Appartement,Tous,1923.076923076923,2029
24,2021,Maison,Studio,2519.6,489
24,2021,Maison,T2,2036.6666666666667,1067
24,2021,Maison,T3,1629.6296296296296,2553
24,2021,Maison,T4,1636.3636363636363,4047
24,2021,Maison,T5+,1518.5185185185185,4067
24,2021,Maison,Tous,1618.3014354066986,12246
24,2021,Tous,Studio,3615.032327586207,896
24,2021,Tous,T2,1982.421052631579,1785
24,2021,Tous,T3,1631.4285714285713,3137
24,2021,Tous,T4,1631.578947368421,4295
24,2021,Tous,T5+,1518.1818181818182,4133
24,2021,Tous,Tous,1645.1612903225807,14275
25,2021,Appartement,Studio,3039.3736263736264,1050
25,2021,Appartement,T2,2538.4615384615386,1413
25,2021,Appartement,T3,2151.2069922308547,1898
25,2021,Appartement,T4,1839.6258888118355,1408
25,2021,Appartement,T5+,1666.0,479
25,2021,Appartement,Tous,2216.3558597091533,6258
25,2021,Maison,Studio,2124.3055555555557,61
